"ID","Question","choice_1","choice_2","choice_3","choice_4","answer"
"6","What is the maximum number of half-pint bottles of cream that can be filled with a 4-gallon can of cream(2 pt.=1 qt. and 4 qt.=1 gal)
","16","24","30","64","D"
"9","There are 200 questions on a 3 hr examination.Among these questions are 50 mathematics problems.It is suggested that twice as much time be spent on each maths problem as for each other question.How many minutes should be spent on mathematics problems","36","72","60","100","B"
"13","In june a baseball team that played 60 games had won 30% of its game played. After a phenomenal winning streak this team raised its average to 50% .How many games must the team have won in a row to attain this average?","12","20","24","30","C"
"15","A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?","7","8","11","12","C"
"16","2 hours after a freight train leaves Delhi a passenger train leaves the same station travelling in the same direction at an average speed of 16 km/hr. After travelling 4 hrs the passenger train overtakes the freight train. The average speed of the freight train was?","30","40","58","60","B"
"40","Which of the following fractions is less than 1/3","22/62","15/46","2/3","1","B"
"42","Three types of tea the a,b,c costs Rs. 95/kg,100/kg and70/kg respectively.How many kgs of each should be blended to produce 100 kg of mixture worth Rs.90/kg, given that the quntities of band c are equal","70,15,15","50,25,25","60,20,20","40,30,30","B"
"43","In a class, except 18 all are above 50 years.15 are below 50 years of age. How many people are there","30","33","36","None of these","D"
"44","If a boat is moving in upstream with velocity of 14 km/hr and goes downstream with a velocity of 40 km/hr, then what is the speed of the stream ?","13 km/hr","26 km/hr","34 km/hr","None of these","A"
"45","Find the value of ( 0.75 * 0.75 * 0.75 - 0.001 ) / ( 0.75 * 0.75 - 0.075 + 0.01)","0.845","1.908","2.312","0.001","A"
"46","A can have a piece of work done in 8 days, B can work three times faster than the A, C can work five times faster than A. How many days will they take to do the work together ?","3 days","8/9 days","4 days","can't say","B"
"47","A car travels a certain distance taking 7 hrs in forward journey, during the return journey increased speed 12km/hr takes the times 5 hrs. What is the distance travelled","210 kms","30 kms","20 kms","None of these","B"
"49","Find (7x + 4y ) / (x-2y) if x/2y = 3/2 ?","6","8","7","insufficient data","C"
"53","If on an item a company gives 25% discount, they earn 25% profit. If they now give 10% discount then what is the profit percentage.","40%","55%","35%","30%","D"
"54","A certain number of men can finish a piece of work in 10 days. If however there were 10 men less it will take 10 days more for the work to be finished. How many men were there originally?","110 men","130 men","100 men","None of these","A"
"56","If a sum of money compound annually amounts of thrice itself in 3 years. In how many years will it become 9 times itself.","6","8","10","12","A"
"57","Two trains move in the same direction at 50 kmph and 32 kmph respectively. A man in the slower train observes the 15 seconds elapse before the faster train completely passes by him. What is the length of faster train ?","100 m","75 m","120 m","50 m","B"
"58","How many mashes are there in 1 squrare meter of wire gauge if each mesh is 8mm long and 5mm wide ?","2500","25000","250","250000","B"
"60","The price of sugar increases by 20%, by what % should a housewife reduce the consumption of sugar so that expenditure on sugar can be same as before ?","15%","16.66%","12%","9%","B"
"64","15 men take 21 days of 8 hrs. each to do a piece of work. How many days of 6 hrs. each would it take for 21 women if 3 women do as much work as 2 men?","30","20","19","29","A"
"65","A cylinder is 6 cms in diameter and 6 cms in height. If spheres of the same size are made from the material obtained, what is the diameter of each sphere?","5 cm","2 cm","3 cm","4 cm","C"
"67","What is the smallest number by which 2880 must be divided in order to make it into a perfect square ?","3","4","5","6","C"
"68","A father is 30 years older than his son however he will be only thrice as old as the son after 5 years what is father's present age ?","40","30","50","None of these","A"
"74","In objective test a correct ans score 4 marks and on a wrong ans 2 marks are ---. a student score 480 marks from 150 question. how many ans were correct?","120","130","110","150","B"
"75","What is the percentage represented by 0.03 * 0.05 ?","0.0015","0.000015","0.15","15","B"
"76","(x-a)(x-b)(x-c)....(x-z)","1","-1","0","Cant be determined","C"
"77","If a = 1, b = 2, c = 3.......z = 26 what is the value of p+q+r ?","33","51","52","48","B"
"78","A is 8 miles east of B.
C is 10 miles north of B.
D is 13 miles east of C and E is 2 miles north of D.
Find shortest distance between A and E.","5 miles","6 miles","13 miles","18 miles","C"
"79","If z = 1, y = 2.......a = 26. Find the value of z + y + x + .......+a.","351","221","400","200","A"
"80","There are 30 socks in a bag. Out of these 60 % are green and the rest are blue. What is the maximum number of times that socks have to be taken out so that atleast 1 blue pair is found.","21","2","18","20","D"
"81","How many two digit numbers have their square ending with 8.","13","12","0","11","C"
"82","How many numbers are there between 100 and 300 with 2 in the end and 2 in the beginning.","10","9","11","None of these","A"
"83","0.000006 * 0.0000007 = ?","0.0000000042","0.000000000042","0.0000000000042","0.00000000000042","B"
"85","If x + y =12,
x - y = 2
Find x + 2y.
","12","17","14","None of these","B"
"88","What is twenty percent of 25 % of 20.","2","1","5","4","B"
"89","A rectangle has the dimensions 6ft * 4ft. How many squares of 0.5 inches will it need to completely fill it.","32000","12824","13824","18324","C"
"93","1, 2, 3, 5, 7, 11, __","15","9","13","12","C; 13 - series of prime numbers"
"98","A person travels towards east from his house and travels a distance of 3 meters. He then ran a distance of 7 meters southwards and then travels towards east a distance of 3 meter Finally he travels southwards a distance of 10 meters.What is his vertical distance from his house?","10","17","12","None of these","B"
"99","The sum of three consecutive numbers is 132. Find the square of the largest number.","2026","640","900","2025","D"
"100","Father's age is five times his son's age. Four years back father was 9 times older than his son.Find their present ages","30yrs, 6yrs","25yrs, 5yrs","40yrs, 8yrs","None of these","C"
"101","If x + 5y = 6 ;
7x - 2y = 5
Find x - y","1","2","0","None of these","C"
"102","If the equation x2 + 2(k+2)x + 9k = 0 has equal roots, find k?","1,4","1,5","2,5","Cannot be determined","A"
"109","How many two digit numbers have their squares ending with 6?","9","10","164","18","D"
"110","In how many years will $1200 amount to $1323 at 5%p.a. compound interest?","3 yrs","2 (1/2) yrs","2 yrs","None of these","C"
"111","How many terms of the series -9 , -6 , -3 ,.........must be taken such that the sum may be 66?","11","13","9","10","A"
"112","The sum of three numbers in AP is 27 and their product is 504. Find the terms.","7, 9, 11","5, 9, 13","4, 9, 14","None of these","C"
"113","Two pipes A and B can fill a tank in 20 and 25 seconds respectively.  Both are opened at the same time and after 5 minutes the first one is closed.How much more time will it take for the tank to be full?","13 min 45 secs","10 min","18 min","15 min 45 secs","A"
"114","How long will a train 150 metres long and travelling at a speed of 45 kmph, take to cross a platform of length 250 meters?","48 s","32 s","30 s","None of these","B"
"115","Walking at 4/5th of his usual speed, a man reaches his office 15 mins late. Find his usual time for reaching the office?","45 mins","2 hrs","1 hr","30 mins","C"
"117","If in a certain code ""RANGE"" is coded as 12345 and ""RANDOM"" is coded as 123678, then the code for the word ""MANGO"" would be","82357","84563","82346","82543","D"
"118","If in a code ""COPIER"" is coded as 1234 and ""REAM"" is coded as 5421,then ""DREAM"" is coded as","35421","43512","35412","34521","A"
"119","The questions are based on the following data In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu
How many speak both English and Telugu?","10","15","20","12","C"
"120","In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu. 
How many speak only Telugu?","55","45","65","None of these","C"
"121","In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu.
How many speak at least one of the two languages?","120","100","250","50","A"
"122","Find the lowest of the three numbers in a GP whose sum is 38 and product 945.","12","18","4","8","D"
"123","A can do a piece of work in 24days. When he had worked for 4 days B joined him. If the complete work is finished in 16 days form the beginning, in how many days can B alone finish the work?","24 days","18 days","36 days","","C"
"124","A person travels 12 km in the southward direction and then travels 5 km to the right.  He then travels 5 km to the right and then travels 15 km towards the right and finally travels 5km towards the east. How far is he from his starting place?","5 km","3 m","3.5 km","4 km","B"
